wavelength_nm,relative_power
501,0.11751586606727045
502,0.13586952885060655
503,0.15629180612489102
504,0.17887058493490302
505,0.20367148089362894
506,0.23073320135196582
507,0.26006298267630507
508,0.2916322598940292
509,0.32537273960892216
510,0.36117305404416233
511,0.398876174267503
512,0.43827775324558393
513,0.47912555382049726
514,0.5211200928322269
515,0.5639166006795322
516,0.6071283563275006
517,0.6503314122992951
518,0.6930706741343035
519,0.7348672461377995
520,0.7752269022699063
521,0.8136494901965167
522,0.8496390303870115
523,0.8827142331499301
524,0.9124191268812
525,0.9383334724292111
526,0.9600826327367149
527,0.9773465745906602
528,0.9898677005275844
529,0.9974572431432769
530,1.0
531,0.9974572431432769
532,0.9898677005275844
533,0.9773465745906602
534,0.9600826327367149
535,0.9383334724292111
536,0.9124191268812
537,0.8827142331499301
538,0.8496390303870115
539,0.8136494901965167
540,0.7752269022699063
541,0.7348672461377995
542,0.6930706741343035
543,0.6503314122992951
544,0.6071283563275006
545,0.5639166006795322
546,0.5211200928322269
547,0.47912555382049726
548,0.43827775324558393
549,0.398876174267503
550,0.36117305404416233
551,0.32537273960892216
552,0.2916322598940292
553,0.26006298267630507
554,0.23073320135196582
555,0.20367148089362894
556,0.17887058493490302
557,0.15629180612489102
558,0.13586952885060655
559,0.11751586606727045
560,0.10112522908770055
561,0.0865787094815339
562,0.07374817445230865
563,0.0625
564,0.05269838876986267
565,0.04420824083149537
566,0.03689756500899441
567,0.030639435275376128
568,0.025313510807983074
569,0.020807149433224172
570,0.01701615238524443
571,0.01384518371336038
572,0.01120791054983157
573,0.009026911117993162
574,0.007233396189744464
575,0.005766787076866316
576,0.004574189543275984
577,0.0036097986123709005
578,0.0028342644355435795
579,0.002214044459713092
580,0.0017207623081490642
581,0.0013305892437605097
582,0.0010236599421540274
583,0.0007835306431155934
584,0.0005966846146591797
585,0.0004520872618590292
586,0.0003407911261632715
587,0.0002555894136521312
588,0.000190715513836123
589,0.00014158516776919676
